feature,coefficient,abs_coefficient,selected
net_rtg_L10_diff,0.3852953453490793,0.3852953453490793,True
rest_x_home_b2b,0.046361293886923664,0.046361293886923664,True
off_rtg_L10_diff,0.03604941246767861,0.03604941246767861,True
win_pct_L10_diff,0.025331488243809194,0.025331488243809194,True
to_pct_L10_diff,-0.021313308111472282,0.021313308111472282,True
rest_advantage,0.021197996869810512,0.021197996869810512,True
3pa_rate_L10_diff,0.01754709863298683,0.01754709863298683,True
win_streak_diff,0.0008652045420009822,0.0008652045420009822,True
form_x_net_rtg,0.0,0.0,False
3p_efficiency_x_volume,0.0,0.0,False
efg_x_ast,0.0,0.0,False
form_x_streak,0.0,0.0,False
rim_protection_x_def,0.0,0.0,False
defense_disruption,0.0,0.0,False
oreb_x_efg,0.0,0.0,False
consistency_x_quality,0.0,0.0,False
ft_rate_x_quality,0.0,0.0,False
off_efficiency_x_to,0.0,0.0,False
rest_x_away_b2b,0.0,0.0,False
is_b2b_home,0.0,0.0,False
off_def_synergy,0.0,0.0,False
is_b2b_away,0.0,0.0,False
def_rtg_L10_diff,0.0,0.0,False
pts_std_L10_diff,0.0,0.0,False
blk_pct_L10_diff,0.0,0.0,False
stl_pct_L10_diff,0.0,0.0,False
ast_ratio_L10_diff,0.0,0.0,False
oreb_pct_L10_diff,0.0,0.0,False
ft_rate_L10_diff,0.0,0.0,False
3p_pct_L10_diff,0.0,0.0,False
efg_pct_L10_diff,0.0,0.0,False
double_b2b,0.0,0.0,False
